#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
10,Sun Mar 01 18:03:25 EST 2020,68,0,GetMaxTestSuite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EverythingTest GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
11,Sun Mar 01 18:03:48 EST 2020,68,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EverythingTest GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
12,Sun Mar 01 18:08:00 EST 2020,68,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EverythingTest GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
13,Sun Mar 01 18:08:40 EST 2020,68,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EverythingTest GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
14,Sun Mar 01 18:09:35 EST 2020,68,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EverythingTest GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
15,Sun Mar 01 18:26:39 EST 2020,81,13,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest+ GetMaxTest1+ GetMaxTest2 GetMaxTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,SortTest1 SortTest2 SortTest3 SortTest4 , ,
16,Sun Mar 01 18:32:16 EST 2020,100,19,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SortTest1+ SortTest2+ SortTest3+ SortTest4+ , , , ,
17,Mon Mar 02 11:11:18 EST 2020,100,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SortTest1 SortTest2 SortTest3 SortTest4 , , , ,
18,Mon Mar 02 11:11:26 EST 2020,100,0,BuildTestSuite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SortTest1 SortTest2 SortTest3 SortTest4 , , , ,
19,Mon Mar 02 14:02:59 EST 2020,100,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SortTest1 SortTest2 SortTest3 SortTest4 , , , ,
